date,province,case_cumulative,death_cumulative
2020-04-20,Jambi,8,0
2020-04-20,Jawa Barat,747,62
2020-04-20,Jawa Tengah,351,44
2020-04-20,Jawa Timur,590,56
2020-04-20,Kalimantan Barat,21,3
2020-04-20,Kalimantan Timur,63,1
2020-04-20,Kalimantan Tengah,60,3
2020-04-20,Kalimantan Selatan,96,6
2020-04-20,Kalimantan Utara,74,1
2020-04-20,Kepulauan Riau,79,7
2020-04-20,Nusa Tenggara Barat,72,4
2020-04-20,Sumatera Selatan,89,3
2020-04-20,Sumatera Barat,74,7
2020-04-20,Sulawesi Utara,20,2
2020-04-20,Sumatera Utara,83,9
2020-04-20,Sulawesi Tenggara,37,2
2020-04-20,Sulawesi Selatan,370,25
2020-04-20,Sulawesi Tengah,27,3
2020-04-20,Lampung,26,5
2020-04-20,Riau,34,4
2020-04-20,Maluku Utara,4,0
2020-04-20,Maluku,17,0
2020-04-20,Papua Barat,7,1
2020-04-20,Papua,107,6
2020-04-20,Sulawesi Barat,7,1
2020-04-20,Nusa Tenggara Timur,1,0
2020-04-20,Gorontalo,4,0
2020-04-20,Lain,27,0
2020-04-21,Aceh,7,1
2020-04-21,Bali,150,3
2020-04-21,Banten,341,35
2020-04-21,Kepulauan Bangka Belitung,8,1
2020-04-21,Bengkulu,8,1
2020-04-21,Daerah Istimewa Yogyakarta,72,7
2020-04-21,DKI Jakarta,3260,298
2020-04-21,Jambi,13,0
2020-04-21,Jawa Barat,756,68
2020-04-21,Jawa Tengah,449,44
2020-04-21,Jawa Timur,603,56
2020-04-21,Kalimantan Barat,27,3
2020-04-21,Kalimantan Timur,68,1
2020-04-21,Kalimantan Tengah,67,4
2020-04-21,Kalimantan Selatan,98,6
2020-04-21,Kalimantan Utara,77,1
2020-04-21,Kepulauan Riau,81,8
2020-04-21,Nusa Tenggara Barat,93,4
2020-04-21,Sumatera Selatan,89,3
2020-04-21,Sumatera Barat,76,7
2020-04-21,Sulawesi Utara,20,3
2020-04-21,Sumatera Utara,84,9
2020-04-21,Sulawesi Tenggara,37,2
2020-04-21,Sulawesi Selatan,374,30
2020-04-21,Sulawesi Tengah,27,3
2020-04-21,Lampung,27,5
2020-04-21,Riau,35,4
2020-04-21,Maluku Utara,4,0
2020-04-21,Maluku,17,0
2020-04-21,Papua Barat,7,1
2020-04-21,Papua,118,6
2020-04-21,Sulawesi Barat,7,1
2020-04-21,Nusa Tenggara Timur,1,0
2020-04-21,Gorontalo,7,1
2020-04-21,Lain,27,0
2020-04-22,Aceh,7,1
2020-04-22,Bali,152,4
2020-04-22,Banten,337,35
2020-04-22,Kepulauan Bangka Belitung,8,1
2020-04-22,Bengkulu,8,1
2020-04-22,Daerah Istimewa Yogyakarta,75,7
2020-04-22,DKI Jakarta,3383,301
2020-04-22,Jambi,13,0
2020-04-22,Jawa Barat,762,71
2020-04-22,Jawa Tengah,479,53
2020-04-22,Jawa Timur,638,58
2020-04-22,Kalimantan Barat,31,3
2020-04-22,Kalimantan Timur,69,1
2020-04-22,Kalimantan Tengah,82,4
2020-04-22,Kalimantan Selatan,107,6
2020-04-22,Kalimantan Utara,77,1
2020-04-22,Kepulauan Riau,81,8
2020-04-22,Nusa Tenggara Barat,108,4
2020-04-22,Sumatera Selatan,89,3
2020-04-22,Sumatera Barat,81,8
2020-04-22,Sulawesi Utara,20,3
2020-04-22,Sumatera Utara,93,10
2020-04-22,Sulawesi Tenggara,37,2
2020-04-22,Sulawesi Selatan,387,30
2020-04-22,Sulawesi Tengah,29,3
2020-04-22,Lampung,27,5
2020-04-22,Riau,35,4
2020-04-22,Maluku Utara,12,0
2020-04-22,Maluku,17,0
2020-04-22,Papua Barat,8,1
2020-04-22,Papua,123,6
2020-04-22,Sulawesi Barat,8,1
2020-04-22,Nusa Tenggara Timur,1,0
2020-04-22,Gorontalo,7,1
2020-04-22,Lain,27,0
2020-04-23,Aceh,7,1
2020-04-23,Bali,167,4
2020-04-23,Banten,337,35
2020-04-23,Kepulauan Bangka Belitung,9,1
2020-04-23,Bengkulu,8,1
2020-04-23,Daerah Istimewa Yogyakarta,76,7
2020-04-23,DKI Jakarta,3517,301
2020-04-23,Jambi,14,0
2020-04-23,Jawa Barat,784,74
2020-04-23,Jawa Tengah,538,53
2020-04-23,Jawa Timur,664,60
2020-04-23,Kalimantan Barat,50,3
2020-04-23,Kalimantan Timur,74,1
2020-04-23,Kalimantan Tengah,83,4
2020-04-23,Kalimantan Selatan,114,6
2020-04-23,Kalimantan Utara,77,1
2020-04-23,Kepulauan Riau,83,8
2020-04-23,Nusa Tenggara Barat,115,4
2020-04-23,Sumatera Selatan,93,3
2020-04-23,Sumatera Barat,86,9
2020-04-23,Sulawesi Utara,31,3
2020-04-23,Sumatera Utara,95,11
2020-04-23,Sulawesi Tenggara,37,2
2020-04-23,Sulawesi Selatan,397,34
2020-04-23,Sulawesi Tengah,29,3
2020-04-23,Lampung,38,5
2020-04-23,Riau,36,4
2020-04-23,Maluku Utara,14,0
2020-04-23,Maluku,17,0
2020-04-23,Papua Barat,13,1
2020-04-23,Papua,130,6
2020-04-23,Sulawesi Barat,8,1
2020-04-23,Nusa Tenggara Timur,1,0
2020-04-23,Gorontalo,7,1
2020-04-23,Lain,26,0
2020-04-24,Aceh,8,1
2020-04-24,Bali,177,4
2020-04-24,Banten,359,39
2020-04-24,Kepulauan Bangka Belitung,9,1
2020-04-24,Bengkulu,8,1
2020-04-24,Daerah Istimewa Yogyakarta,77,7
2020-04-24,DKI Jakarta,3599,326
2020-04-24,Jambi,18,0
2020-04-24,Jawa Barat,862,77
2020-04-24,Jawa Tengah,575,54
2020-04-24,Jawa Timur,690,67
2020-04-24,Kalimantan Barat,50,3
2020-04-24,Kalimantan Timur,85,1
2020-04-24,Kalimantan Tengah,94,4
2020-04-24,Kalimantan Selatan,132,6
2020-04-24,Kalimantan Utara,77,1
2020-04-24,Kepulauan Riau,83,8
2020-04-24,Nusa Tenggara Barat,153,4
2020-04-24,Sumatera Selatan,106,3
2020-04-24,Sumatera Barat,96,10
2020-04-24,Sulawesi Utara,36,3
2020-04-24,Sumatera Utara,96,11
2020-04-24,Sulawesi Tenggara,41,2
2020-04-24,Sulawesi Selatan,420,35
2020-04-24,Sulawesi Tengah,32,3
2020-04-24,Lampung,38,5
2020-04-24,Riau,36,4
2020-04-24,Maluku Utara,14,0
2020-04-24,Maluku,17,0
2020-04-24,Papua Barat,15,1
2020-04-24,Papua,136,6
2020-04-24,Sulawesi Barat,33,1
2020-04-24,Nusa Tenggara Timur,1,0
2020-04-24,Gorontalo,12,1
2020-04-24,Lain,26,0
2020-04-25,Aceh,9,1
2020-04-25,Bali,183,4
2020-04-25,Banten,370,39
2020-04-25,Kepulauan Bangka Belitung,9,1
2020-04-25,Bengkulu,8,1
2020-04-25,Daerah Istimewa Yogyakarta,79,7
2020-04-25,DKI Jakarta,3684,346
2020-04-25,Jambi,21,0
2020-04-25,Jawa Barat,907,77
2020-04-25,Jawa Tengah,621,54
2020-04-25,Jawa Timur,770,75
2020-04-25,Kalimantan Barat,51,3
2020-04-25,Kalimantan Timur,97,1
2020-04-25,Kalimantan Tengah,100,4
2020-04-25,Kalimantan Selatan,146,6
2020-04-25,Kalimantan Utara,83,1
2020-04-25,Kepulauan Riau,83,8
2020-04-25,Nusa Tenggara Barat,180,4
2020-04-25,Sumatera Selatan,119,3
2020-04-25,Sumatera Barat,97,11
2020-04-25,Sulawesi Utara,36,3
2020-04-25,Sumatera Utara,105,12
2020-04-25,Sulawesi Tenggara,41,2
2020-04-25,Sulawesi Selatan,432,36
2020-04-25,Sulawesi Tengah,36,3
2020-04-25,Lampung,38,5
2020-04-25,Riau,38,4
2020-04-25,Maluku Utara,14,0
2020-04-25,Maluku,22,0
2020-04-25,Papua Barat,16,1
2020-04-25,Papua,136,6
2020-04-25,Sulawesi Barat,35,1
2020-04-25,Nusa Tenggara Timur,1,0
2020-04-25,Gorontalo,14,1
2020-04-25,Lain,26,0
2020-04-26,Aceh,9,1
2020-04-26,Bali,186,4
2020-04-26,Banten,370,39
2020-04-26,Kepulauan Bangka Belitung,10,1
2020-04-26,Bengkulu,8,1
2020-04-26,Daerah Istimewa Yogyakarta,82,7
2020-04-26,DKI Jakarta,3798,353
2020-04-26,Jambi,32,0
2020-04-26,Jawa Barat,912,77
2020-04-26,Jawa Tengah,649,58
2020-04-26,Jawa Timur,785,87
2020-04-26,Kalimantan Barat,51,3
2020-04-26,Kalimantan Timur,105,1
2020-04-26,Kalimantan Tengah,104,4
2020-04-26,Kalimantan Selatan,146,6
2020-04-26,Kalimantan Utara,89,1
2020-04-26,Kepulauan Riau,85,8
2020-04-26,Nusa Tenggara Barat,195,4
2020-04-26,Sumatera Selatan,129,3
2020-04-26,Sumatera Barat,102,11
2020-04-26,Sulawesi Utara,40,3
2020-04-26,Sumatera Utara,111,12
2020-04-26,Sulawesi Tenggara,45,2
2020-04-26,Sulawesi Selatan,440,36
2020-04-26,Sulawesi Tengah,36,3
2020-04-26,Lampung,42,5
2020-04-26,Riau,39,4
2020-04-26,Maluku Utara,26,0
2020-04-26,Maluku,22,0
2020-04-26,Papua Barat,16,1
2020-04-26,Papua,141,6
2020-04-26,Sulawesi Barat,35,1
2020-04-26,Nusa Tenggara Timur,1,0
2020-04-26,Gorontalo,15,1
2020-04-26,Lain,26,0
2020-04-27,Aceh,9,1
2020-04-27,Bali,194,4
2020-04-27,Banten,382,40
2020-04-27,Kepulauan Bangka Belitung,10,1
2020-04-27,Bengkulu,8,1
2020-04-27,Daerah Istimewa Yogyakarta,83,7
2020-04-27,DKI Jakarta,3869,367
2020-04-27,Jambi,32,0
2020-04-27,Jawa Barat,951,78
2020-04-27,Jawa Tengah,666,58
2020-04-27,Jawa Timur,796,88
2020-04-27,Kalimantan Barat,51,3
2020-04-27,Kalimantan Timur,107,1
2020-04-27,Kalimantan Tengah,112,5
2020-04-27,Kalimantan Selatan,150,6
2020-04-27,Kalimantan Utara,90,1
2020-04-27,Kepulauan Riau,86,8
2020-04-27,Nusa Tenggara Barat,206,4
2020-04-27,Sumatera Selatan,129,3
2020-04-27,Sumatera Barat,121,14
2020-04-27,Sulawesi Utara,40,3
2020-04-27,Sumatera Utara,111,12
2020-04-27,Sulawesi Tenggara,45,2
2020-04-27,Sulawesi Selatan,440,37
2020-04-27,Sulawesi Tengah,36,3
2020-04-27,Lampung,42,5
2020-04-27,Riau,39,4
2020-04-27,Maluku Utara,26,0
2020-04-27,Maluku,22,0
2020-04-27,Papua Barat,16,1
2020-04-27,Papua,151,6
2020-04-27,Sulawesi Barat,35,1
2020-04-27,Nusa Tenggara Timur,1,0
2020-04-27,Gorontalo,14,1
2020-04-27,Lain,26,0
2020-04-28,Aceh,9,1
2020-04-28,Bali,215,4
2020-04-28,Banten,388,41
2020-04-28,Kepulauan Bangka Belitung,10,1
2020-04-28,Bengkulu,8,1
2020-04-28,Daerah Istimewa Yogyakarta,93,7
2020-04-28,DKI Jakarta,4002,370
2020-04-28,Jambi,32,0
2020-04-28,Jawa Barat,969,79
2020-04-28,Jawa Tengah,682,58
2020-04-28,Jawa Timur,857,90
2020-04-28,Kalimantan Barat,51,3
2020-04-28,Kalimantan Timur,115,1
2020-04-28,Kalimantan Tengah,121,6
2020-04-28,Kalimantan Selatan,150,6
2020-04-28,Kalimantan Utara,92,1
2020-04-28,Kepulauan Riau,89,8
2020-04-28,Nusa Tenggara Barat,221,4
2020-04-28,Sumatera Selatan,143,3
2020-04-28,Sumatera Barat,144,14
2020-04-28,Sulawesi Utara,43,3
2020-04-28,Sumatera Utara,111,12
2020-04-28,Sulawesi Tenggara,45,2
2020-04-28,Sulawesi Selatan,453,37
2020-04-28,Sulawesi Tengah,42,3
2020-04-28,Lampung,44,5
2020-04-28,Riau,40,4
2020-04-28,Maluku Utara,26,0
2020-04-28,Maluku,22,0
2020-04-28,Papua Barat,37,1
2020-04-28,Papua,177,6
2020-04-28,Sulawesi Barat,37,1
2020-04-28,Nusa Tenggara Timur,1,0
2020-04-28,Gorontalo,15,1
2020-04-28,Lain,27,0
2020-04-29,Aceh,9,1
2020-04-29,Bali,215,4
2020-04-29,Banten,388,41
2020-04-29,Kepulauan Bangka Belitung,10,1
2020-04-29,Bengkulu,12,1
2020-04-29,Daerah Istimewa Yogyakarta,94,7
2020-04-29,DKI Jakarta,4092,370
2020-04-29,Jambi,32,0
2020-04-29,Jawa Barat,1009,79
2020-04-29,Jawa Tengah,711,59
2020-04-29,Jawa Timur,872,95
2020-04-29,Kalimantan Barat,58,3
2020-04-29,Kalimantan Timur,119,1
2020-04-29,Kalimantan Tengah,127,6
2020-04-29,Kalimantan Selatan,157,9
2020-04-29,Kalimantan Utara,92,1
2020-04-29,Kepulauan Riau,89,9
2020-04-29,Nusa Tenggara Barat,230,4
2020-04-29,Sumatera Selatan,144,3
2020-04-29,Sumatera Barat,145,15
2020-04-29,Sulawesi Utara,44,3
2020-04-29,Sumatera Utara,114,12
2020-04-29,Sulawesi Tenggara,53,2
2020-04-29,Sulawesi Selatan,465,37
2020-04-29,Sulawesi Tengah,47,3
2020-04-29,Lampung,46,5
2020-04-29,Riau,41,4
2020-04-29,Maluku Utara,26,0
2020-04-29,Maluku,23,0
2020-04-29,Papua Barat,37,1
2020-04-29,Papua,189,6
2020-04-29,Sulawesi Barat,38,1
2020-04-29,Nusa Tenggara Timur,1,0
2020-04-29,Gorontalo,15,1
2020-04-29,Lain,27,0
2020-04-30,Aceh,10,1
2020-04-30,Bali,222,4
2020-04-30,Banten,404,41
2020-04-30,Kepulauan Bangka Belitung,10,1
2020-04-30,Bengkulu,12,1
2020-04-30,Daerah Istimewa Yogyakarta,95,7
2020-04-30,DKI Jakarta,4175,371
2020-04-30,Jambi,32,0
2020-04-30,Jawa Barat,1012,83
2020-04-30,Jawa Tengah,724,59
2020-04-30,Jawa Timur,958,96
2020-04-30,Kalimantan Barat,58,3
2020-04-30,Kalimantan Timur,134,1
2020-04-30,Kalimantan Tengah,145,6
2020-04-30,Kalimantan Selatan,170,9
2020-04-30,Kalimantan Utara,100,1
2020-04-30,Kepulauan Riau,89,9
2020-04-30,Nusa Tenggara Barat,230,4
2020-04-30,Sumatera Selatan,150,3
2020-04-30,Sumatera Barat,148,15
2020-04-30,Sulawesi Utara,45,4
2020-04-30,Sumatera Utara,117,13
2020-04-30,Sulawesi Tenggara,62,2
2020-04-30,Sulawesi Selatan,491,37
2020-04-30,Sulawesi Tengah,47,3
2020-04-30,Lampung,46,5
2020-04-30,Riau,41,4
2020-04-30,Maluku Utara,40,0
2020-04-30,Maluku,23,0
2020-04-30,Papua Barat,37,1
2020-04-30,Papua,205,6
2020-04-30,Sulawesi Barat,42,1
2020-04-30,Nusa Tenggara Timur,3,0
2020-04-30,Gorontalo,15,1
2020-04-30,Lain,26,0
2020-05-01,Aceh,11,1
2020-05-01,Bali,235,4
2020-05-01,Banten,418,41
2020-05-01,Kepulauan Bangka Belitung,19,1
2020-05-01,Bengkulu,12,1
2020-05-01,Daerah Istimewa Yogyakarta,104,7
2020-05-01,DKI Jakarta,4317,375
2020-05-01,Jambi,32,0
2020-05-01,Jawa Barat,1012,83
2020-05-01,Jawa Tengah,746,60
2020-05-01,Jawa Timur,1034,99
2020-05-01,Kalimantan Barat,61,3
2020-05-01,Kalimantan Timur,136,1
2020-05-01,Kalimantan Tengah,156,6
2020-05-01,Kalimantan Selatan,179,9
2020-05-01,Kalimantan Utara,115,1
2020-05-01,Kepulauan Riau,89,9
2020-05-01,Nusa Tenggara Barat,233,4
2020-05-01,Sumatera Selatan,156,3
2020-05-01,Sumatera Barat,172,15
2020-05-01,Sulawesi Utara,45,4
2020-05-01,Sumatera Utara,117,13
2020-05-01,Sulawesi Tenggara,62,2
2020-05-01,Sulawesi Selatan,547,37
2020-05-01,Sulawesi Tengah,48,3
2020-05-01,Lampung,50,5
2020-05-01,Riau,42,4
2020-05-01,Maluku Utara,41,0
2020-05-01,Maluku,23,0
2020-05-01,Papua Barat,42,1
2020-05-01,Papua,210,6
2020-05-01,Sulawesi Barat,43,1
2020-05-01,Nusa Tenggara Timur,3,0
2020-05-01,Gorontalo,15,1
2020-05-01,Lain,26,0
2020-05-02,Aceh,11,1
2020-05-02,Bali,237,4
2020-05-02,Banten,427,41
2020-05-02,Kepulauan Bangka Belitung,19,1
2020-05-02,Bengkulu,12,1
2020-05-02,Daerah Istimewa Yogyakarta,114,7
2020-05-02,DKI Jakarta,4397,392
2020-05-02,Jambi,32,0
2020-05-02,Jawa Barat,1043,84
2020-05-02,Jawa Tengah,767,62
2020-05-02,Jawa Timur,1037,106
2020-05-02,Kalimantan Barat,68,3
2020-05-02,Kalimantan Timur,154,1
2020-05-02,Kalimantan Tengah,157,6
2020-05-02,Kalimantan Selatan,179,9
2020-05-02,Kalimantan Utara,122,1
2020-05-02,Kepulauan Riau,89,9
2020-05-02,Nusa Tenggara Barat,250,4
2020-05-02,Sumatera Selatan,156,3
2020-05-02,Sumatera Barat,182,15
2020-05-02,Sulawesi Utara,45,4
2020-05-02,Sumatera Utara,117,13
2020-05-02,Sulawesi Tenggara,64,2
2020-05-02,Sulawesi Selatan,577,40
2020-05-02,Sulawesi Tengah,59,3
2020-05-02,Lampung,50,5
2020-05-02,Riau,45,5
2020-05-02,Maluku Utara,41,0
2020-05-02,Maluku,23,0
2020-05-02,Papua Barat,43,1
2020-05-02,Papua,240,6
2020-05-02,Sulawesi Barat,44,1
2020-05-02,Nusa Tenggara Timur,3,0
2020-05-02,Gorontalo,15,1
2020-05-02,Lain,24,0
2020-05-03,Aceh,12,1
2020-05-03,Bali,262,4
2020-05-03,Banten,432,41
2020-05-03,Kepulauan Bangka Belitung,20,1
2020-05-03,Bengkulu,12,1
2020-05-03,Daerah Istimewa Yogyakarta,115,7
2020-05-03,DKI Jakarta,4463,398
2020-05-03,Jambi,38,0
2020-05-03,Jawa Barat,1054,85
2020-05-03,Jawa Tengah,776,62
2020-05-03,Jawa Timur,1117,111
2020-05-03,Kalimantan Barat,70,3
2020-05-03,Kalimantan Timur,162,1
2020-05-03,Kalimantan Tengah,157,7
2020-05-03,Kalimantan Selatan,195,9
2020-05-03,Kalimantan Utara,122,1
2020-05-03,Kepulauan Riau,92,9
2020-05-03,Nusa Tenggara Barat,269,4
2020-05-03,Sumatera Selatan,185,4
2020-05-03,Sumatera Barat,195,15
2020-05-03,Sulawesi Utara,45,4
2020-05-03,Sumatera Utara,123,13
2020-05-03,Sulawesi Tenggara,64,2
2020-05-03,Sulawesi Selatan,601,40
2020-05-03,Sulawesi Tengah,59,3
2020-05-03,Lampung,50,5
2020-05-03,Riau,53,5
2020-05-03,Maluku Utara,50,0
2020-05-03,Maluku,23,0
2020-05-03,Papua Barat,43,1
2020-05-03,Papua,240,6
2020-05-03,Sulawesi Barat,44,1
2020-05-03,Nusa Tenggara Timur,10,0
2020-05-03,Gorontalo,15,1
2020-05-03,Lain,24,0
2020-05-04,Aceh,12,1
2020-05-04,Bali,271,4
2020-05-04,Banten,446,41
2020-05-04,Kepulauan Bangka Belitung,20,1
2020-05-04,Bengkulu,12,1
2020-05-04,Daerah Istimewa Yogyakarta,115,7
2020-05-04,DKI Jakarta,4539,408
2020-05-04,Jambi,38,0
2020-05-04,Jawa Barat,1252,86
2020-05-04,Jawa Tengah,798,62
2020-05-04,Jawa Timur,1124,117
2020-05-04,Kalimantan Barat,73,3
2020-05-04,Kalimantan Timur,167,1
2020-05-04,Kalimantan Tengah,180,7
2020-05-04,Kalimantan Selatan,198,9
2020-05-04,Kalimantan Utara,130,1
2020-05-04,Kepulauan Riau,92,9
2020-05-04,Nusa Tenggara Barat,269,4
2020-05-04,Sumatera Selatan,185,5
2020-05-04,Sumatera Barat,203,15
2020-05-04,Sulawesi Utara,45,4
2020-05-04,Sumatera Utara,129,13
2020-05-04,Sulawesi Tenggara,64,2
2020-05-04,Sulawesi Selatan,607,40
2020-05-04,Sulawesi Tengah,59,3
2020-05-04,Lampung,54,5
2020-05-04,Riau,58,6
2020-05-04,Maluku Utara,50,0
2020-05-04,Maluku,23,0
2020-05-04,Papua Barat,43,1
2020-05-04,Papua,240,6
2020-05-04,Sulawesi Barat,44,1
2020-05-04,Nusa Tenggara Timur,10,0
2020-05-04,Gorontalo,15,1
2020-05-04,Lain,22,0
2020-05-05,Aceh,12,1
2020-05-05,Bali,277,4
2020-05-05,Banten,458,41
2020-05-05,Kepulauan Bangka Belitung,28,1
2020-05-05,Bengkulu,12,1
2020-05-05,Daerah Istimewa Yogyakarta,121,7
2020-05-05,DKI Jakarta,4687,409
2020-05-05,Jambi,43,0
2020-05-05,Jawa Barat,1300,87
2020-05-05,Jawa Tengah,849,62
2020-05-05,Jawa Timur,1171,117
2020-05-05,Kalimantan Barat,73,3
2020-05-05,Kalimantan Timur,168,2
2020-05-05,Kalimantan Tengah,181,7
2020-05-05,Kalimantan Selatan,212,9
2020-05-05,Kalimantan Utara,131,1
2020-05-05,Kepulauan Riau,97,10
2020-05-05,Nusa Tenggara Barat,285,4
2020-05-05,Sumatera Selatan,199,5
2020-05-05,Sumatera Barat,221,16
2020-05-05,Sulawesi Utara,45,4
2020-05-05,Sumatera Utara,130,13
2020-05-05,Sulawesi Tenggara,69,2
2020-05-05,Sulawesi Selatan,640,42
2020-05-05,Sulawesi Tengah,70,3
2020-05-05,Lampung,55,5
2020-05-05,Riau,61,6
2020-05-05,Maluku Utara,50,0
2020-05-05,Maluku,23,0
2020-05-05,Papua Barat,49,1
2020-05-05,Papua,247,6
2020-05-05,Sulawesi Barat,58,2
2020-05-05,Nusa Tenggara Timur,12,0
2020-05-05,Gorontalo,15,1
2020-05-05,Lain,22,0
2020-05-06,Aceh,17,1
2020-05-06,Bali,277,4
2020-05-06,Banten,487,41
2020-05-06,Kepulauan Bangka Belitung,28,1
2020-05-06,Bengkulu,14,1
2020-05-06,Daerah Istimewa Yogyakarta,122,7
2020-05-06,DKI Jakarta,4770,414
2020-05-06,Jambi,47,0
2020-05-06,Jawa Barat,1320,90
2020-05-06,Jawa Tengah,891,64
2020-05-06,Jawa Timur,1221,123
2020-05-06,Kalimantan Barat,90,3
2020-05-06,Kalimantan Timur,182,2
2020-05-06,Kalimantan Tengah,186,7
2020-05-06,Kalimantan Selatan,225,9
2020-05-06,Kalimantan Utara,131,1
2020-05-06,Kepulauan Riau,98,10
2020-05-06,Nusa Tenggara Barat,289,5
2020-05-06,Sumatera Selatan,210,5
2020-05-06,Sumatera Barat,238,16
2020-05-06,Sulawesi Utara,45,4
2020-05-06,Sumatera Utara,141,16
2020-05-06,Sulawesi Tenggara,69,2
2020-05-06,Sulawesi Selatan,665,45
2020-05-06,Sulawesi Tengah,70,3
2020-05-06,Lampung,63,5
2020-05-06,Riau,61,6
2020-05-06,Maluku Utara,50,0
2020-05-06,Maluku,23,0
2020-05-06,Papua Barat,53,1
2020-05-06,Papua,248,6
2020-05-06,Sulawesi Barat,58,2
2020-05-06,Nusa Tenggara Timur,12,0
2020-05-06,Gorontalo,15,1
2020-05-06,Lain,22,0
2020-05-07,Aceh,17,1
2020-05-07,Bali,287,4
2020-05-07,Banten,495,56
2020-05-07,Kepulauan Bangka Belitung,28,1
2020-05-07,Bengkulu,14,1
2020-05-07,Daerah Istimewa Yogyakarta,137,7
2020-05-07,DKI Jakarta,4855,423
2020-05-07,Jambi,47,0
2020-05-07,Jawa Barat,1381,90
2020-05-07,Jawa Tengah,904,64
2020-05-07,Jawa Timur,1267,133
2020-05-07,Kalimantan Barat,95,3
2020-05-07,Kalimantan Timur,182,2
2020-05-07,Kalimantan Tengah,188,7
2020-05-07,Kalimantan Selatan,238,9
2020-05-07,Kalimantan Utara,131,1
2020-05-07,Kepulauan Riau,98,10
2020-05-07,Nusa Tenggara Barat,300,5
2020-05-07,Sumatera Selatan,227,6
2020-05-07,Sumatera Barat,252,16
2020-05-07,Sulawesi Utara,45,4
2020-05-07,Sumatera Utara,142,16
2020-05-07,Sulawesi Tenggara,69,2
2020-05-07,Sulawesi Selatan,684,45
2020-05-07,Sulawesi Tengah,75,3
2020-05-07,Lampung,63,5
2020-05-07,Riau,66,6
2020-05-07,Maluku Utara,50,0
2020-05-07,Maluku,23,0
2020-05-07,Papua Barat,53,1
2020-05-07,Papua,252,6
2020-05-07,Sulawesi Barat,58,2
2020-05-07,Nusa Tenggara Timur,12,0
2020-05-07,Gorontalo,19,1
2020-05-07,Lain,22,0
2020-05-08,Aceh,17,1
2020-05-08,Bali,300,4
2020-05-08,Banten,505,56
2020-05-08,Kepulauan Bangka Belitung,28,1
2020-05-08,Bengkulu,14,1
2020-05-08,Daerah Istimewa Yogyakarta,143,7
2020-05-08,DKI Jakarta,4955,424
2020-05-08,Jambi,47,0
2020-05-08,Jawa Barat,1404,92
2020-05-08,Jawa Tengah,933,65
2020-05-08,Jawa Timur,1284,138
2020-05-08,Kalimantan Barat,95,3
2020-05-08,Kalimantan Timur,209,2
2020-05-08,Kalimantan Tengah,188,7
2020-05-08,Kalimantan Selatan,246,9
2020-05-08,Kalimantan Utara,131,1
2020-05-08,Kepulauan Riau,100,10
2020-05-08,Nusa Tenggara Barat,312,5
2020-05-08,Sumatera Selatan,227,6
2020-05-08,Sumatera Barat,270,17
2020-05-08,Sulawesi Utara,47,4
2020-05-08,Sumatera Utara,157,16
2020-05-08,Sulawesi Tenggara,70,2
2020-05-08,Sulawesi Selatan,708,46
2020-05-08,Sulawesi Tengah,75,3
2020-05-08,Lampung,66,5
2020-05-08,Riau,69,6
2020-05-08,Maluku Utara,50,0
2020-05-08,Maluku,32,2
2020-05-08,Papua Barat,53,1
2020-05-08,Papua,265,6
2020-05-08,Sulawesi Barat,60,2
2020-05-08,Nusa Tenggara Timur,12,0
2020-05-08,Gorontalo,19,1
2020-05-08,Lain,21,0
2020-05-09,Aceh,17,1
2020-05-09,Bali,306,4
2020-05-09,Banten,523,56
2020-05-09,Kepulauan Bangka Belitung,28,1
2020-05-09,Bengkulu,37,1
2020-05-09,Daerah Istimewa Yogyakarta,146,7
2020-05-09,DKI Jakarta,5056,427
2020-05-09,Jambi,62,0
2020-05-09,Jawa Barat,1437,95
2020-05-09,Jawa Tengah,959,66
2020-05-09,Jawa Timur,1419,141
2020-05-09,Kalimantan Barat,118,3
2020-05-09,Kalimantan Timur,214,2
2020-05-09,Kalimantan Tengah,189,7
2020-05-09,Kalimantan Selatan,253,9
2020-05-09,Kalimantan Utara,131,1
2020-05-09,Kepulauan Riau,101,10
2020-05-09,Nusa Tenggara Barat,330,6
2020-05-09,Sumatera Selatan,278,6
2020-05-09,Sumatera Barat,286,17
2020-05-09,Sulawesi Utara,53,4
2020-05-09,Sumatera Utara,179,21
2020-05-09,Sulawesi Tenggara,71,2
2020-05-09,Sulawesi Selatan,710,46
2020-05-09,Sulawesi Tengah,75,3
2020-05-09,Lampung,66,5
2020-05-09,Riau,71,6
2020-05-09,Maluku Utara,54,0
2020-05-09,Maluku,32,2
2020-05-09,Papua Barat,53,1
2020-05-09,Papua,277,6
2020-05-09,Sulawesi Barat,62,2
2020-05-09,Nusa Tenggara Timur,12,0
2020-05-09,Gorontalo,19,1
2020-05-09,Lain,21,0
2020-05-10,Aceh,17,1
2020-05-10,Bali,311,4
2020-05-10,Banten,533,56
2020-05-10,Kepulauan Bangka Belitung,29,1
2020-05-10,Bengkulu,37,1
2020-05-10,Daerah Istimewa Yogyakarta,153,7
2020-05-10,DKI Jakarta,5190,434
2020-05-10,Jambi,64,0
2020-05-10,Jawa Barat,1437,95
2020-05-10,Jawa Tengah,978,66
2020-05-10,Jawa Timur,1502,143
2020-05-10,Kalimantan Barat,120,3
2020-05-10,Kalimantan Timur,218,2
2020-05-10,Kalimantan Tengah,193,7
